student_id,academic_year,major,facility_rated,satisfaction_score,timestamp,feedback
STU00180,2023-2024,Engineering,Sports Center,3,2023-01-01,Poor quality
STU00303,2023-2024,Computer Science,Parking,5,2023-01-03,Good experience
STU00163,2024-2025,Medicine,Cafeteria,4,2023-01-04,Excellent service
STU00421,2024-2025,Medicine,Library,4,2023-01-04,Excellent service
STU00032,2023-2024,Sciences,Medical Center,4,2023-01-07,Very satisfied
STU00231,2024-2025,Business,Parking,3,2023-01-08,Not satisfied
STU00391,2023-2024,Education,Cafeteria,5,2023-01-09,Average facilities
STU00367,2024-2025,Medicine,Sports Center,2,2023-01-10,Excellent service
STU00432,2024-2025,Arts,Student Center,3,2023-01-10,Average facilities
STU00150,2024-2025,Medicine,Library,2,2023-01-12,Poor quality
STU00291,2023-2024,Law,Library,4,2023-01-16,Good experience
STU00184,2023-2024,Arts,Dormitory,4,2023-01-20,Average facilities
STU00225,2024-2025,Computer Science,Library,1,2023-01-22,Very satisfied
STU00484,2024-2025,Medicine,Library,1,2023-01-25,Average facilities
STU00003,2023-2024,Medicine,Library,4,2023-01-26,Poor quality
STU00464,2023-2024,Education,Sports Center,5,2023-01-26,Very satisfied
STU00021,2024-2025,Sciences,Parking,2,2023-01-28,Satisfactory
STU00499,2023-2024,Sciences,Sports Center,5,2023-01-29,Needs improvement
STU00015,2024-2025,Engineering,Student Center,1,2023-01-31,Very satisfied
STU00014,2023-2024,Law,Sports Center,5,2023-02-02,Excellent service
STU00103,2024-2025,Arts,Dormitory,3,2023-02-02,Good experience
STU00238,2024-2025,Medicine,Medical Center,4,2023-02-02,Excellent service
STU00438,2024-2025,Medicine,Student Center,2,2023-02-06,Not satisfied
STU00475,2023-2024,Arts,Medical Center,4,2023-02-09,Average facilities
STU00344,2024-2025,Education,Library,4,2023-02-10,Needs improvement
STU00448,2024-2025,Sciences,Medical Center,5,2023-02-10,Satisfactory
STU00445,2024-2025,Medicine,Sports Center,1,2023-02-12,Good experience
STU00049,2024-2025,Engineering,Student Center,4,2023-02-14,Good experience
STU00420,2024-2025,Sciences,Library,3,2023-02-15,Good experience
STU00064,2023-2024,Education,Student Center,5,2023-02-16,Very satisfied
STU00134,2023-2024,Computer Science,Parking,2,2023-02-18,Excellent service
STU00288,2023-2024,Sciences,Lab Facilities,5,2023-02-21,Poor quality
STU00323,2024-2025,Law,Student Center,1,2023-02-21,Good experience
STU00415,2023-2024,Arts,Cafeteria,3,2023-02-22,Poor quality
STU00264,2023-2024,Engineering,Parking,1,2023-02-25,Poor quality
STU00101,2023-2024,Medicine,Sports Center,2,2023-02-27,Satisfactory
STU00329,2024-2025,Education,Lab Facilities,3,2023-02-28,Needs improvement
STU00322,2023-2024,Arts,Sports Center,3,2023-02-28,Excellent service
STU00317,2023-2024,Computer Science,Cafeteria,3,2023-03-01,Not satisfied
STU00189,2023-2024,Education,Sports Center,2,2023-03-01,Very satisfied
STU00300,2024-2025,Business,Cafeteria,1,2023-03-02,Poor quality
STU00235,2024-2025,Engineering,Cafeteria,5,2023-03-02,Satisfactory
STU00269,2023-2024,Arts,Student Center,5,2023-03-04,Good experience
STU00320,2024-2025,Computer Science,Sports Center,3,2023-03-04,Very satisfied
STU00142,2023-2024,Law,Library,5,2023-03-07,Very satisfied
STU00223,2024-2025,Arts,Library,5,2023-03-07,Needs improvement
STU00107,2024-2025,Education,Student Center,1,2023-03-09,Very satisfied
STU00335,2024-2025,Computer Science,Dormitory,5,2023-03-11,Not satisfied
STU00237,2024-2025,Arts,Library,4,2023-03-11,Poor quality
STU00379,2024-2025,Medicine,Lab Facilities,4,2023-03-12,Not satisfied
STU00333,2024-2025,Business,Parking,4,2023-03-12,Excellent service
STU00195,2023-2024,Engineering,Cafeteria,3,2023-03-12,Poor quality
STU00063,2023-2024,Education,Parking,2,2023-03-13,Not satisfied
STU00490,2023-2024,Sciences,Library,3,2023-03-13,Good experience
STU00232,2024-2025,Computer Science,Medical Center,5,2023-03-14,Needs improvement
STU00240,2024-2025,Arts,Sports Center,5,2023-03-14,Good experience
STU00085,2023-2024,Law,Lab Facilities,4,2023-03-15,Very satisfied
STU00366,2023-2024,Computer Science,Lab Facilities,4,2023-03-16,Good experience
STU00372,2024-2025,Sciences,Sports Center,5,2023-03-17,Good experience
STU00284,2023-2024,Arts,Library,2,2023-03-19,Average facilities
STU00434,2024-2025,Computer Science,Dormitory,5,2023-03-19,Poor quality
STU00054,2024-2025,Arts,Parking,4,2023-03-22,Poor quality
STU00192,2023-2024,Law,Sports Center,4,2023-03-22,Good experience
STU00068,2023-2024,Sciences,Parking,4,2023-03-23,Very satisfied
STU00331,2023-2024,Medicine,Lab Facilities,5,2023-03-24,Good experience
STU00346,2023-2024,Medicine,Sports Center,3,2023-03-25,Needs improvement
STU00193,2023-2024,Medicine,Student Center,4,2023-03-29,Needs improvement
STU00011,2023-2024,Computer Science,Student Center,3,2023-03-31,Very satisfied
STU00133,2023-2024,Medicine,Lab Facilities,1,2023-04-04,Not satisfied
